time,space,speed
5,12.624390751335662,2.5248781502671322
10,12.84917047099693,1.284917047099693
15,32.0589584017848,2.13726389345232
20,79.21377056496314,3.960688528248157
25,114.24445078265856,4.569778031306343
30,123.86388128723874,4.128796042907958
35,147.13761128950367,4.2039317511286765
40,154.93394607652692,3.8733486519131732
45,156.34896743944228,3.474421498654273
50,249.84054042309123,4.996810808461825
55,372.0029029306923,6.763689144194405
60,373.0356067718715,6.217260112864525
65,402.4749521494491,6.1919223407607555
70,441.97786269156717,6.313969467022388
75,467.2841159259601,6.230454879012802
80,498.77087450168665,6.234635931271083
85,582.7954126160389,6.856416619012222
90,597.6000766119009,6.640000851243344
95,744.040300195039,7.832003159947779
100,747.5123083044155,7.475123083044155
105,810.9188057229177,7.723036244980168
110,815.440591996788,7.413096290879891
115,834.0791034272894,7.252861768932951
120,842.4177838946151,7.020148199121793
125,904.465866297801,7.235726930382408
130,920.7228622308174,7.082483555621673
135,1005.3324092862327,7.446906735453576
140,1036.118075633883,7.40084339738488
145,1070.2686595012335,7.381163168974024
150,1108.2803868335168,7.388535912223445
155,1114.091234632473,7.187685384725633
160,1120.5325560852682,7.003328475532927
165,1129.0576392043217,6.842773570935283
170,1176.2917925243678,6.919363485437458
175,1180.7264001140784,6.747008000651877
180,1198.7138158034734,6.659521198908186
185,1204.4614720270479,6.5106025514975565
190,1207.0278749062809,6.352778288980426
195,1223.4758445881782,6.274235100452196
200,1254.4172506343366,6.272086253171683
205,1254.95277042398,6.1217208313364875
210,1319.9851173462935,6.2856434159347305
215,1383.1976644408269,6.433477509027102
220,1399.9939299040727,6.36360877229124
225,1411.543437358463,6.273526388259836
230,1452.068949408364,6.313343258297235
235,1469.413162100885,6.252821966386745
240,1470.8264020674956,6.128443341947898
245,1478.1749175171367,6.033367010274027
250,1514.4589216383256,6.057835686553302
255,1613.785033466463,6.328568758692011
260,1667.7981888416398,6.414608418621691
265,1682.5296599876833,6.349168528255409
270,1742.7123608767063,6.454490225469282
275,1746.673958712454,6.351541668045287
280,1826.4462764007026,6.523022415716795
285,1864.1315906750608,6.540812598859863
290,1886.7448768994454,6.50601681689464
295,1905.6557094408427,6.459849862511331
300,1956.616836483847,6.522056121612823
305,1965.4742287264696,6.444177799103179
310,1986.9926619265882,6.409653748150284
315,1996.927077010827,6.339451038129609
320,2029.3103510218264,6.341594846943208
325,2045.4410281704331,6.2936647020628715
330,2119.5880354975657,6.42299404696232
335,2146.1761202301564,6.406495881284049
340,2146.7762717690694,6.314047858144321
345,2146.8858251912707,6.222857464322524
350,2159.9728202904166,6.171350915115476
355,2222.970235683591,6.261887987841101
